,City,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
72,cayenne,-0.6,73.0833,81.57,50.0,68.0,0.85,MV,1626665909.0
73,sladkovo,63.3667,47.9167,71.24,16.0,49.0,10.07,RU,1626665912.0
74,bandarbeyla,-22.9661,-42.0278,67.14,100.0,83.0,20.83,BR,1626665949.0
75,hilo,38.08,46.2919,72.86,20.0,43.0,6.91,IR,1626666062.0
76,abbeville,-9.8,-139.0333,77.83,6.0,75.0,25.14,PF,1626665904.0
77,kapaa,32.0339,51.8794,78.94,86.0,36.0,0.98,IR,1626666062.0
78,cherskiy,-13.4411,-40.4308,58.23,0.0,91.0,4.0,BR,1626666062.0
79,fairbanks,78.2186,15.6401,37.24,90.0,87.0,9.22,SJ,1626665907.0
80,hithadhoo,47.6666,-52.7314,61.57,40.0,82.0,8.05,CA,1626665729.0
81,illoqqortoormiut,72.7868,-56.1549,36.84,100.0,86.0,15.5,GL,1626665931.0
82,blagoyevo,32.6667,-17.1,74.01,2.0,85.0,3.09,PT,1626665962.0
83,arraial do cabo,-20.3428,57.7575,68.22,40.0,94.0,3.44,MU,1626665981.0
84,tabriz,69.3,139.9,64.38,99.0,30.0,5.97,RU,1626666063.0
85,atuona,-22.116,14.2845,71.85,52.0,68.0,13.27,NA,1626666063.0
86,shahreza,50.5994,97.5228,72.45,59.0,38.0,1.83,RU,1626666063.0
87,maracas,19.2466,-71.9557,72.43,100.0,90.0,1.23,HT,1626666063.0
88,longyearbyen,-31.4333,152.9167,65.89,34.0,48.0,7.76,AU,1626666014.0
89,torbay,69.4541,-133.0374,55.4,20.0,76.0,6.91,CA,1626665913.0
90,upernavik,34.3442,132.5894,85.37,54.0,68.0,2.04,JP,1626666064.0
91,ponta do sol,-2.8856,-40.12,76.55,7.0,87.0,10.6,BR,1626666064.0
92,bambous virieux,46.0901,3.4459,65.16,13.0,98.0,2.39,FR,1626665930.0
93,deputatskiy,-8.9266,125.4092,76.05,64.0,34.0,4.74,TL,1626665932.0
94,henties bay,-33.918,25.5701,59.04,0.0,32.0,10.38,ZA,1626665946.0
95,kungurtug,41.9563,42.9566,67.57,4.0,56.0,2.71,GE,1626665985.0
96,ananas,71.9667,102.5,64.09,99.0,55.0,11.83,RU,1626665955.0
97,port macquarie,55.25,40.6678,71.76,81.0,84.0,4.85,RU,1626666064.0
98,tuktoyaktuk,11.6667,92.75,79.36,100.0,90.0,19.06,IN,1626665928.0
